track_id,track_name,track_artist_name,track_popularity,track_lyrics
6jEZLz3YpnEBRpVkv35AmP,Gasolina,Daddy Yankee,61,
4L54iRvfSVTa48NxYhHBIu,Up & Down,Vengaboys,61,
0ijhkvBpA7OBlY4clWSUZw,One More Time - Radio Edit [Short Radio Edit],Daft Punk,60,
0Q3SC6kEhxYagDP3bFe5K9,Keep It Mello (feat. Omar LinX),Omar LinX,60,
3vAncbML0jhNrp63DKhsCo,Round And Round,HEIZE,60,
39vrbjCMTRXEdiIr2IsBgd,She Move It Like,Badshah,60,
4eFnk661RcdOuH9ajiTO3j,Banjaara,Mohammed Irfan,60,
2QD4C6RRHgRNRAyrfnoeAo,Play Hard (feat. Ne-Yo & Akon),David Guetta,60,
6rJhjykEkCqm3H64uALhhf,"Bujji (From ""Jagame Thandhiram"")",Santhosh Narayanan,60,
1TWfkGrhF7ob0nwB2M6knb,Animals,Martin Garrix,60,
6ABHr8kYCws5z6gC9Lwith,Baarish,Mohammed Irfan,60,
4eu27jAU2bbnyHUC3G75U8,Badtameez Dil,Pritam,60,
6P3TrUT5OBuyrBYGrHo525,"World, Hold On",Bob Sinclair,60,
1QZRCi2Z1DQQaR6bGAzhtN,Love Dose,Yo Yo Honey Singh,60,
18e3XXYCv4Tx8uUl1mP3CN,Balam Pichkari,Pritam,60,
7crGzxRqI5pMZAjZgF9uu2,"Jai Sulthan - From ""Sulthan""",Vivek - Mervin,59,
1Xl83AOH0iWEOVFcdQqKBW,Nainowale Ne,Neeti Mohan,59,
2oNRoniEFnPdaCfkOQ9m0C,"Rakita Rakita Rakita (From ""Jagame Thandhiram"")",Santhosh Narayanan,59,
6AE0G24YXnDyEgE4L0efpB,Tremor - Sensation 2014 Anthem,Dimitri Vegas & Like Mike,59,
7lnRiEP7BHXuILXNY9MH8f,Otha Sollaala,G. V. Prakash,59,
2E2G88mTTJjbbmEpqTkbaV,Tu Meri,Vishal Dadlani,59,
1O3WfEwaSpsgZ6tw8jNT8I,Maana Ke Hum Yaar Nahin,Sachin-Jigar,59,
4gyPGtExOjj1rsByKW33LR,Paagal,Badshah,59,
4OcvkkpF3xmyCGGY5IBlgi,"Tera Ban Jaunga (From ""Kabir Singh"")",Akhil Sachdeva,59,
3bZPdEskcnMdepwCaDSJRl,Bin Tere,Vishal-Shekhar,59,
3fWMFwaJil8fD14JCgwbcL,Aaoge Jab Tum,Rashid Khan,59,
2Zr5zgU9qEoOPvJbU0GScq,Waiting For Love,Avicii,59,
4VM8y5Tx6UBxzfuLvYrhFf,Drugs & The Internet,Lauv,59,
3jxNbVmugKWFFc3YAVl0sD,Aabaad Barbaad,Pritam,59,
3ibDXkPA4Ijz24UxbFcNMi,Top Tucker,Uchana Amit,59,
5x72Q1SyiDHJ4IF2mRzfkg,"Gali Gali (From ""Kgf Chapter 1"")",Neha Kakkar,59,
7HrE6HtYNBbGqp5GmHbFV0,Love poem,IU,59,
71s7tZo8OGlN3VXyURWLUr,Make Some Noise For The Desi Boyz,Pritam,59,
1gwO79MdYdumgIjxq8eCxB,Bahara,Vishal-Shekhar,58,
0GsRx0gPft6RmijIwMsKmG,Friday (feat.Jang Yi-jeong),IU,58,
4dJrjWtAhEkW7VdPYSL1Ip,"Vaathi Coming (From ""Master"")",Anirudh Ravichander,58,
1NfNC8BKQSbWyhwZgLvrfY,Ek Dil Ek Jaan,Shivam Pathak,58,
7gAyu0od48mkaCw1laPKVC,Naagin,Vayu,58,
4PML5RtrVcYAwTTS46otXB,Vaathi Raid,Anirudh Ravichander,58,
6XPgCW18GiGg0scbMcdxgX,"Sivakumar Pondati - From ""Sivakumarin Sabadham""",Hiphop Tamizha,58,
36d0fy3TbyWFR4mth7hpVd,Yaathi Yaathi,Abhishek C S,58,
4FL8i7miD18FuMN08XGKcM,"Takkunu Takkunu - From ""Mr. Local""",Hiphop Tamizha,58,
3Qpk2qHree1RTH5lZaKnEK,Desi Girl,Vishal-Shekhar,58,
1rEVydQSe04NJUqyyEyeEq,Afghan Jalebi (Film Version),Pritam,58,
0MLZAgKQKHbPsJ12qHS860,Haan Main Galat,Pritam,58,
6lfSsCL894Qw15xbt7cSUy,"Jai Jai Shivshankar (From ""War"")",Vishal Dadlani,58,
3F0I9AkbRwz12yz7Hxn0bF,Oh Ho Ho Ho (Remix),Sukhbir,58,
3Eb4VbsbXMpS5Mk9HWTDia,Chandigarh Mein,Badshah,58,
3XYvdqcZrTmRntFDDbJkJd,Buzz (feat. Badshah),Aastha Gill,58,
5HJvDTnAaDWqhsE841I1QR,Kamariya,Lijo George,58,
5Rn1DPzSzUktbhuNDDJocS,Party On My Mind,KK,57,
7ksYJ95P5vP87A0GH34CIk,Ridin' Solo,Jason Derulo,57,
2WO5nzB7QtKn9ZRc9Jkalt,Annul Maelae,Harris Jayaraj,57,
2q0V50aNlI1RQXJyE5HDgD,"Odhani (From ""Made in China"")",Sachin-Jigar,57,
4fyR24BKznXBLNkK8LwWla,Dheere Dheere,Yo Yo Honey Singh,57,
2RJCustVwESEgBF9WNFi79,"Surili Akhiyon Wale (From ""Veer"")",Rahat Fateh Ali Khan,57,
5kl6FcnZv8jQDgNSWNyfpN,Thodi Der,Farhan Saeed,57,
6HQbaD0RomfUPO4KK866oI,Laila Main Laila,Pawni Pandey,56,
3zqFsowz5iGbYIxZW5KlKw,"Tera Hua (From ""Loveyatri"")",Atif Aslam,56,
342pJxy678kgQrZXCL9RG7,Urvashi,Yo Yo Honey Singh,56,
2qPNdVlqZl1cYqsNc3MXnA,Sher Aaya Sher,DIVINE,56,
7iLA6PQeQWRjLDHOJgGpj5,Gerua,Pritam,56,
3OZr3vo7SmYpn5XqeQEAOM,Manali Trance,Yo Yo Honey Singh,56,
5I3Xih0C2ID3fqngBrBbGv,"Bad Boy (From ""Saaho"")",Badshah,56,
2eSNpIOFoi1Q8wxw6CycXJ,Wonderful U,AGA,56,
5DCNAwyomUF3LXunq4NSpJ,阿拉斯加海湾,Priscilla Abby,56,
7hXnhouVPnOnFwCGrQMHvB,Cutiepie,Pritam,56,
3UaP2PQwhA31keZXt7oPLA,The Disco Song,Vishal-Shekhar,56,
0tgwvpBXcw7GURJRqBnc4g,"Girl I Need You (From ""Baaghi"")",Meet Bros.,56,
1hjSN26LvLcBrhObrNSQK1,Vambula Thumbula,Santhosh Narayanan,56,
1plFCZ6QFAjSRutT02GTCn,"Channa Mereya (From ""Ae Dil Hai Mushkil"")",Pritam,56,
3fpVYSLnxkadjYwQPTyo4H,Laal Ghaghra,Neha Kakkar,56,
14uXhHNINQqjl2hngD21s9,Tera Chehra,Adnan Sami,56,
24GlSNySJ9tAwkvZPuVb63,Udhungada Sangu,Anirudh Ravichander,55,
3TrdGeV5bEpHezExHlsguD,"Samjhawan (Unplugged by Alia Bhatt) [From ""Humpty Sharma Ki Dulhania""]",Jawad Ahmad,55,
5DIt4eq2D6CZjX1s5jwrnP,"Tere Naal Nachna (From ""Nawabzaade"")",Badshah,55,
6YYVzVapUF3UnZQ0igasl3,Allah Waariyan,Shafqat Amanat Ali,55,
4J5OpeZUR2msDPfMsIeGSU,Soniyo,Raju Singh,55,
0BB8adTPSIZedvDapPJ2Bs,broken parts,clide,55,
6XjJXPP3UiGtAQpYkD01c0,Chittiyaan Kalaiyaan,Meet Bros Anjjan,55,
2kbxGCtWSV0f1ON720Bd4O,Don'u Don'u Don'u - The Don's Romance,Anirudh Ravichander,55,
2PcgMmmhIZA83kwIYEjR8f,Kalasala Kalasala,Thaman S,55,
0Iz4CkptElGHo16r797Jsb,"Dekhte Dekhte (From ""Batti Gul Meter Chalu"")",Atif Aslam,55,
1AbSrAwrzuC3FcDXoYi3ED,Naan Nee,Shakthisree Gopalan,55,
6dKJWmXeYPznzolqo4K6Uq,Hotel Room Service,Pitbull,55,
3gJbCMoDT9rUmPS1GPd6kn,Kannamma,Santhosh Narayanan,55,
7n6AQKpZUGiJM2auF3yuDY,All Black,Raftaar,55,
7yIGRf80h3Kwi4GfwJUiQl,Shine On,R.I.O.,55,
